text,label
Breaking news! Aliens have landed in New York City.,0
Government announces new education policy for students.,1
Drinking hot water cures all diseases instantly.,0
Prime Minister addresses the nation on economic growth.,1
Scientists confirm earth is flat after new research.,0
New vaccine approved by WHO for public use.,1
Fake message claims mobile towers spread virus.,0
Supreme Court passes new constitutional amendment.,1
Eating chocolate daily causes weight loss magically.,0
Stock market hits record high this quarter.,1
